date, pm25, pm10, o3, no2, so2, co
2019/10/10,101,41,14,20,2,-1
2019/10/11,96,37,14,19,2,-1
2019/10/12,88,23,5,11,2,-1
2019/10/13,79,19,9,11,4,-1
2019/10/14,65,31,9,12,2,-1
2019/10/15,73,42,6,17,3,-1
2019/10/16,73,46,10,19,1,-1
2019/10/17,75,44,17,22,2,-1
2019/10/18,75,46,18,17,2,-1
2019/10/19,83,46,15,15,1,-1
2019/10/20,82,50,23,15,1,-1
2019/10/21,92,69,27,22,1,-1
2019/10/22,148,46,19,8,1,-1
2019/10/23,94,36,12,8,1,-1
2019/10/24,80,42,18,12,1,-1
2019/10/25,84,44,16,13,2,-1
2019/10/26,90,32,15,10,3,-1
2019/10/27,68,34,18,12,1,-1
2019/10/28,73,37,13,15,1,-1
2019/10/29,79,40,19,13,1,-1
2019/10/30,78,48,21,15,1,-1
2019/10/31,86,30,12,11,1,-1
2019/11/01,62,36,8,14,1,-1
2019/11/02,75,39,14,11,1,-1
2019/11/03,85,41,22,14,2,-1
2019/11/04,81,58,24,18,-1,-1
2019/11/05,110,59,19,19,1,-1
2019/11/06,122,61,15,18,1,-1
2019/11/07,127,61,22,14,2,-1
2019/11/08,120,60,22,12,1,-1
2019/11/09,132,61,21,17,-1,-1
2019/11/10,128,69,25,27,1,-1
2019/11/11,131,62,13,24,1,-1
2019/11/12,137,54,13,16,1,-1
2019/11/13,113,41,6,15,1,-1
2019/11/14,81,46,16,15,1,-1
2019/11/15,88,54,20,18,1,-1
2019/11/16,109,56,27,16,1,-1
2019/11/17,113,55,15,20,3,-1
2019/11/18,99,51,16,16,-1,-1
